Master Key,Dataset Key,Segment Type,Channel,Hashtag,Handle,Post Content,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
11,2620,KOL,Weibo,"['#海报星图#', '#MetGala#']",海报时尚网,#海报星图# #MetGala# Blake Lively亮相今年Met Gala红毯，Slay全场啊啊啊啊啊！超200万美元的Lorraine Schwartz珠宝+超过100克拉香槟钻+一对30克拉的镶有18K金钻石的耳环，珠光宝气，相当惹眼！ ​​​​,20,6,75,2018-05-08 10:40,https://www.weibo.com/1656851485/GfFJxgBkt?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2621,KOL,Weibo,['#海豹君说早安#'],海报时尚网,#海豹君说早安# 适合减肥者的营养早餐，一天的开始要元气满满哦 ​​​​,37,13,51,2018-05-07 08:50,https://www.weibo.com/1656851485/GfvAgfg1m?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2622,KOL,Weibo,"['#海报星装#', '#王俊凯#']",海报时尚网,#海报星装#  近日，@TFBOYS-王俊凯 现身机场，身穿@CommonGender T恤，搭配@GUCCI 运动风外套，带着口罩也掩盖不了一如既往的帅气 #王俊凯# ​​​​,33,24,44,2018-05-04 15:03,https://www.weibo.com/1656851485/Gf5K8wfx0?from=page_1006061656851485_profile&wvr=6&mod=weibotime,
11,2623,KOL,Weibo,[],WeLens,//@一Victory一: 忘不了所有的台都变成黑白色，失踪人数和死亡人数缓缓上涨的时候以及第一次从电视上看到废墟地下被压着的剩半口气的人，忘不了搜救犬因为不停救人而累死，同一时间，我还在安逸的吃着晚饭看着电视，有的人却在争取最后一口气努力活下去,32,15,54,2018-05-09 09:29,https://www.weibo.com/1713053037/GfOGSyikL?from=page_1005051713053037_profile&wvr=6&mod=weibotime,
11,2624,KOL,Weibo,[],haruru,Thanks Tom Ford. 2北京·北京瑰丽酒店 ​​​​,0,5,95,2018-05-10 21:00,https://www.weibo.com/1655852940/Gg2DQwWK0?from=page_1005051655852940_profile&wvr=6&mod=weibotime,
11,2625,KOL,Weibo,[],InStyleNotes,Prada Resort 2019 | 我们再次看到了Prada女士带给我们的惊喜，比如革新的Logo标志以及精彩的面料提花，当然她也赋予了拼接面料更多活力，显然是抓住了“风格永续”的关键—既是不断创新；当然向来注重时装与建筑联系的Muccica本人，本次将秀场迁到了纽约钢琴厂，内外虚实巧妙融合，把强烈的人工痕迹与 ​​​​...展开全文c,16,6,78,2018-05-10 14:25,https://www.weibo.com/1756648217/Gg03uchlQ?from=page_1005051756648217_profile&wvr=6&mod=weibotime,
11,2626,KOL,Weibo,"['#资生堂#', '#唐嫣#', '#资生堂彩妆代言人唐嫣#']",-IF时尚-,好皮肤和好腿都想要怎么办#资生堂# #唐嫣# #资生堂彩妆代言人唐嫣#@SHISEIDO资生堂官方微博,13,28,58,2018-05-08 16:56,https://www.weibo.com/5321667468/GfIc1iG85?from=page_1006065321667468_profile&wvr=6&mod=weibotime,
11,2627,KOL,Weibo,"['#杂志架#', '#时尚奥斯卡#']",新浪时尚,#杂志架# 【蕾哈娜登美版VOGUE尽展狂野好身材】近日，@Rihanna_official 登上美版VOGUE六月刊封面，在即将到来的#时尚奥斯卡# MetGala上，Riri将和Donatella Versace以及Amal Clooney共同成为联合主席>>>O蕾哈娜登美版VOGUE六月刊封面 ​​​​,7,5,87,2018-05-06 17:30,https://www.weibo.com/1765148101/GfpyB65zZ?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
11,2628,KOL,Weibo,['#YOHO!GIRLchitchat#'],YOHOGIRL,#YOHO!GIRLchitchat# 祝各位不管是年龄还是心智都保有青年精神的人，五四青年节快乐！ ​​​​,7,5,87,2018-05-04 09:00,https://www.weibo.com/3194192161/Gf3mB4bFk?from=page_1002063194192161_profile&wvr=6&mod=weibotime,
11,2629,KOL,Weibo,['#减肥集中营#'],新浪时尚,#减肥集中营#【这个你小学就会的动作瘦腰又翘臀】对于亚洲人来说，绝大多数想要塑形的人，都是对自己的腰腹臀部位尤其的不满意。而这个部位的塑形训练也是方法最多，分类最细致的。但是对于不是走专业健身路线的我们来说，你只要掌握一个动作，就可以瘦腰又翘臀>>>O深蹲做一次你就会爱上 ​​​​,40,11,47,2018-05-05 11:30,https://www.weibo.com/1765148101/GfdLYupHk?from=page_1002061765148101_profile&wvr=6&mod=weibotime,
